0.400,1.000,0.000,0.000,0.286,0.167,0.429,0.200,0.250,0
0.226,0.000,0.000,0.000,0.000,0.000,0.600,0.500,0.571,0
0.122,0.000,0.000,0.000,0.000,0.000,0.600,0.500,0.571,0
0.000,0.000,0.000,0.000,0.000,0.118,0.600,0.182,0.333,0
0.167,0.000,0.000,0.000,0.000,0.026,0.140,0.039,0.059,0
0.474,0.000,0.000,0.000,0.000,0.083,0.750,0.167,0.200,0
0.000,0.000,0.000,0.000,0.000,0.000,0.800,1.000,0.000,0
0.000,0.000,0.000,0.000,0.000,0.000,0.231,0.074,0.190,0
0.087,0.000,0.000,0.000,0.000,0.000,0.240,0.067,0.222,0
0.128,0.000,0.000,0.000,0.000,0.034,0.182,0.056,0.083,0
0.000,0.000,0.000,0.000,0.000,0.000,0.500,0.250,0.364,0
0.000,0.000,0.000,0.000,0.000,0.000,0.800,0.000,0.000,0
0.182,0.000,0.000,0.000,0.000,0.011,0.074,0.025,0.071,0
0.182,0.000,0.000,0.000,0.000,0.007,0.061,0.019,0.040,0
0.264,0.000,0.000,0.000,0.000,0.043,0.273,0.041,0.182,0
0.000,0.000,0.000,0.000,0.028,0.017,0.057,0.016,0.026,0
0.000,0.000,0.000,0.000,0.667,0.200,0.800,0.400,0.667,0
0.226,0.000,0.000,0.000,0.000,0.000,0.600,0.400,0.444,0
0.122,0.000,0.000,0.000,0.000,0.000,0.600,0.400,0.444,0
0.264,0.000,0.000,0.000,0.000,0.007,0.056,0.010,0.024,0
0.044,0.000,0.000,0.000,0.000,0.000,0.667,0.333,0.333,0
0.078,0.000,0.000,0.000,0.222,0.000,0.375,0.143,0.286,0
0.133,0.000,0.000,0.000,0.667,0.000,0.800,1.000,0.667,0
0.154,0.000,0.000,0.667,0.286,0.111,0.778,0.500,0.545,0
0.125,0.000,0.000,0.667,0.286,0.111,0.778,0.500,0.545,0
0.000,0.000,0.000,0.571,0.400,0.043,0.778,0.947,0.750,0
0.128,0.000,0.000,0.364,0.122,0.036,0.431,0.305,0.167,0
0.486,0.000,0.000,0.000,0.286,0.158,0.625,0.300,0.857,0
0.000,0.000,0.000,0.000,0.000,0.000,0.308,0.200,0.000,0
0.000,0.000,0.000,0.200,0.429,0.000,0.529,0.457,0.480,0
0.044,0.000,0.000,0.400,0.429,0.000,0.606,0.474,0.545,0
